,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2006-01-11,-1.3102725366876337e-06,1.5664160401002156e-07,6.6184,3.1453,112037.18030488752,-100000,-286.2023783913378,-1.292323597828899e-06,1.54495828612624e-07,-286.21927484185613
2006-01-12,-1.572327044025157e-06,4.177109440267366e-07,6.6863,3.1607,112037.18030488752,-100000,648.9087378197851,-1.5507883173946753e-06,4.1198887630034287e-07,648.8959682273529
2006-01-13,-1.4675052410901463e-06,6.265664160400986e-07,6.6206,3.1664,112037.18030488752,-100000,-1294.5437587069282,-1.4474024295683637e-06,6.179833144505083e-07,-1294.548464417103
2006-01-16,-1.3078049801213657e-06,1.563477173233253e-07,6.6607,3.1451,112037.18030488752,-100000,1370.3651401868783,-1.2898898434073744e-06,1.5420596777095098e-07,1370.348414577634
2006-01-17,-1.362683438155136e-06,1.5664160401002156e-07,6.6946,3.1895,112037.18030488752,-100000,-858.3086581214075,-1.3440165417420518e-06,1.54495828612624e-07,-858.3262396855308
2006-01-18,-1.3102725366876337e-06,1.5664160401002156e-07,6.7341,3.1962,112037.18030488752,-100000,443.8645450906797,-1.292323597828899e-06,1.54495828612624e-07,443.8479451970202
2006-01-19,-1.4150943396226443e-06,-5.22138680033467e-08,6.7213,3.1963,112037.18030488752,-100000,-214.8275672835325,-1.3957094856552107e-06,-5.1498609537547425e-08,-214.85246590196616
2006-01-20,-1.4150943396226443e-06,4.177109440267366e-07,6.5993,3.1995,112037.18030488752,-100000,-2159.6062591886885,-1.3957094856552107e-06,4.1198887630034287e-07,-2159.6168988244767
2006-01-23,-1.572327044025157e-06,4.6992481203007713e-07,6.5628,3.1509,112037.18030488752,-100000,923.8155879532115,-1.5507883173946753e-06,4.6348748583788426e-07,923.8040275769463
2006-01-24,-1.1897372232567766e-06,-3.0525030525030417e-07,6.5551,3.1362,112037.18030488752,-100000,345.74365361065884,-1.1734394530751769e-06,-3.0106879421947804e-07,345.7138645207258
2006-01-25,-7.716049382716022e-07,-7.575757575757593e-07,6.579,3.1155,112037.18030488752,-100000,1097.9940968034598,-7.610350076103474e-07,-7.471980074719819e-07,1097.9568204003185
2006-01-26,-4.0700040700040554e-07,-1.0510510510510496e-06,6.6211,3.1328,112037.18030488752,-100000,151.80111112594477,-4.014250589593041e-07,-1.0366530914476105e-06,151.7607686256175
2006-01-27,-3.574346405228714e-07,-1.2033694344163676e-06,6.6791,3.1587,112037.18030488752,-100000,137.62963215983564,-3.5253827558420195e-07,-1.1868849216161433e-06,137.58562159548543
2006-01-30,2.0312817387771773e-07,-1.6486810551558714e-06,6.7251,3.163,112037.18030488752,-100000,627.7314015032425,2.003455961533654e-07,-1.6260963831674346e-06,627.6826152055941
2006-01-31,5.023106288929097e-07,-1.6016016016015976e-06,6.6193,3.1705,112037.18030488752,-100000,-2020.1082356292643,4.954296613738286e-07,-1.5796618536344523e-06,-2020.1503658105573
2006-02-01,1.1050833835643998e-06,-2.0020020020019998e-06,6.6927,3.1697,112037.18030488752,-100000,1265.7999943276284,1.0899452550224217e-06,-1.9745773170430686e-06,1265.7550796216815
2006-02-02,4.5703839122486333e-07,-1.8984812150279782e-06,6.6476,3.1763,112037.18030488752,-100000,-970.143562846418,4.507775913450707e-07,-1.8724746230412937e-06,-970.195735751677
