20050103 01:00,5.5303,5.4779,5.5337,5.5106,0,5.5333,5.4799,5.5367,5.5136,0
20050104 01:00,5.5106,5.507,5.6101,5.602,0,5.5136,5.51,5.6131,5.605,0
20050105 01:00,5.602,5.5906,5.6282,5.609,0,5.605,5.5926,5.6302,5.612,0
20050106 01:00,5.609,5.6043,5.6538,5.6359,0,5.612,5.6073,5.6558,5.6389,0
20050107 01:00,5.6359,5.6133,5.7107,5.6866,0,5.6389,5.6153,5.7137,5.6896,0
20050110 01:00,5.6866,5.6623,5.6959,5.6636,0,5.6896,5.6653,5.6979,5.6666,0
20050111 01:00,5.6636,5.6468,5.6775,5.6713,0,5.6666,5.6488,5.6795,5.6743,0
20050112 01:00,5.6713,5.5953,5.6847,5.6109,0,5.6743,5.5973,5.6867,5.6139,0
20050113 01:00,5.6113,5.6062,5.6761,5.6701,0,5.6143,5.6082,5.6796,5.6736,0
20050114 01:00,5.6701,5.6616,5.6964,5.672,0,5.6736,5.6636,5.6984,5.675,0
20050117 01:00,5.672,5.6657,5.7183,5.7068,0,5.675,5.6677,5.7203,5.7098,0
20050118 01:00,5.7068,5.689,5.7242,5.7098,0,5.7098,5.691,5.7262,5.7128,0
20050119 01:00,5.7098,5.6698,5.7382,5.718,0,5.7128,5.6718,5.7402,5.721,0
20050120 01:00,5.718,5.7112,5.7576,5.7418,0,5.721,5.7142,5.7596,5.7448,0
20050121 01:00,5.7418,5.6933,5.7468,5.7036,0,5.7448,5.6953,5.7498,5.7066,0
20050124 01:00,5.7036,5.68,5.72,5.7133,0,5.7066,5.682,5.723,5.7163,0
20050125 01:00,5.7133,5.6904,5.7485,5.7289,0,5.7163,5.6924,5.7505,5.7319,0
20050126 01:00,5.7289,5.6755,5.736,5.6891,0,5.7319,5.6785,5.739,5.6921,0
20050127 01:00,5.6891,5.6689,5.7179,5.711,0,5.6921,5.6719,5.7199,5.714,0
20050128 01:00,5.711,5.688,5.7298,5.7112,0,5.714,5.69,5.7318,5.7142,0
20050131 01:00,5.7112,5.6966,5.7334,5.7002,0,5.7142,5.6996,5.7364,5.7032,0
20050201 01:00,5.7002,5.6842,5.722,5.6885,0,5.7032,5.6862,5.724,5.6905,0
20050202 01:00,5.6885,5.682,5.7196,5.7147,0,5.6905,5.684,5.7226,5.7177,0
20050203 01:00,5.7147,5.7083,5.7501,5.7372,0,5.7177,5.7103,5.7531,5.7402,0
20050204 01:00,5.7372,5.7058,5.8014,5.8009,0,5.7402,5.7063,5.8046,5.8039,0
20050207 01:00,5.8009,5.7853,5.8434,5.8306,0,5.8039,5.7873,5.8464,5.8336,0
20050208 01:00,5.8306,5.814,5.8429,5.8321,0,5.8336,5.817,5.8449,5.8351,0
20050209 01:00,5.8321,5.8016,5.8398,5.8057,0,5.8351,5.8046,5.8418,5.8087,0
20050210 01:00,5.8057,5.7651,5.8405,5.7775,0,5.8087,5.7681,5.8408,5.7805,0
20050211 01:00,5.7775,5.7444,5.7915,5.7528,0,5.7805,5.7474,5.7935,5.7558,0
20050214 01:00,5.7533,5.7289,5.7564,5.7438,0,5.7563,5.7314,5.7594,5.7468,0
20050215 01:00,5.7438,5.7021,5.7443,5.715,0,5.7468,5.7051,5.7473,5.7185,0
20050216 01:00,5.715,5.6966,5.7412,5.7052,0,5.7185,5.6996,5.7442,5.7082,0
20050217 01:00,5.7052,5.6857,5.7183,5.6934,0,5.7082,5.6887,5.7213,5.6964,0
20050218 01:00,5.6934,5.6888,5.7168,5.7021,0,5.6964,5.6918,5.7198,5.7051,0
20050221 01:00,5.7021,5.6541,5.7034,5.6588,0,5.7051,5.6576,5.7064,5.6623,0
20050222 01:00,5.6588,5.606,5.6596,5.62,0,5.6623,5.609,5.6631,5.623,0
