20050103 01:00,3.0175,2.9889,3.0237,3.0138,0,3.0475,3.0189,3.0537,3.0338,0
20050104 01:00,3.0139,3.0115,3.1042,3.0927,0,3.0339,3.0235,3.1077,3.1052,0
20050105 01:00,3.0925,3.0866,3.1367,3.09,0,3.105,3.0905,3.1402,3.105,0
20050106 01:00,3.0905,3.0885,3.1319,3.1078,0,3.1055,3.1035,3.1354,3.1203,0
20050107 01:00,3.1078,3.0806,3.1409,3.1232,0,3.1203,3.0841,3.1621,3.1342,0
20050110 01:00,3.1232,3.0938,3.1329,3.0946,0,3.1342,3.1007,3.1397,3.1071,0
20050111 01:00,3.0944,3.0807,3.0988,3.087,0,3.1069,3.0842,3.1091,3.0995,0
20050112 01:00,3.0867,3.0548,3.1083,3.0604,0,3.0992,3.0583,3.1118,3.0729,0
20050113 01:00,3.0602,3.0577,3.0919,3.0849,0,3.0727,3.0612,3.0995,3.0974,0
20050114 01:00,3.0849,3.08,3.1225,3.0905,0,3.0974,3.0954,3.1356,3.1205,0
20050117 01:00,3.0905,3.0897,3.1163,3.106,0,3.1205,3.0992,3.1258,3.1185,0
20050118 01:00,3.1062,3.1059,3.1509,3.137,0,3.1187,3.1173,3.1557,3.152,0
20050119 01:00,3.137,3.1107,3.1463,3.1276,0,3.152,3.1142,3.156,3.1526,0
20050120 01:00,3.1276,3.1222,3.1976,3.1584,0,3.1526,3.1383,3.2011,3.1709,0
20050121 01:00,3.1584,3.0994,3.1619,3.1134,0,3.1709,3.1248,3.1711,3.1384,0
20050124 01:00,3.1135,3.104,3.12,3.1159,0,3.1385,3.1087,3.1434,3.1284,0
20050125 01:00,3.1159,3.106,3.1479,3.1348,0,3.1284,3.1095,3.1524,3.1473,0
20050126 01:00,3.1348,3.0964,3.1413,3.0999,0,3.1473,3.103,3.1509,3.1249,0
20050127 01:00,3.0998,3.0929,3.1204,3.1101,0,3.1248,3.0964,3.1258,3.1226,0
20050128 01:00,3.1102,3.0781,3.125,3.1074,0,3.1227,3.0957,3.1385,3.1199,0
20050131 01:00,3.1071,3.1017,3.1318,3.1067,0,3.1196,3.1059,3.1353,3.1192,0
20050201 01:00,3.1066,3.0978,3.1169,3.0985,0,3.1191,3.1055,3.1225,3.111,0
20050202 01:00,3.0987,3.0745,3.1129,3.0779,0,3.1112,3.0815,3.1164,3.0904,0
20050203 01:00,3.0779,3.0533,3.0895,3.0586,0,3.0904,3.0568,3.0953,3.0736,0
20050204 01:00,3.0586,3.0491,3.0877,3.0871,0,3.0736,3.0541,3.1155,3.0981,0
20050207 01:00,3.0874,3.0737,3.1043,3.0964,0,3.0984,3.0781,3.1168,3.1089,0
20050208 01:00,3.0965,3.0933,3.1384,3.1241,0,3.109,3.1007,3.1419,3.1366,0
20050209 01:00,3.1243,3.1127,3.1535,3.1171,0,3.1368,3.1207,3.157,3.1296,0
20050210 01:00,3.1171,3.102,3.1426,3.1085,0,3.1296,3.1089,3.1461,3.1235,0
20050211 01:00,3.1085,3.0869,3.1381,3.0957,0,3.1235,3.1059,3.1443,3.1067,0
20050214 01:00,3.0957,3.0771,3.1072,3.0847,0,3.1067,3.0854,3.1182,3.0972,0
20050215 01:00,3.0849,3.0435,3.0856,3.0474,0,3.0974,3.0491,3.0981,3.0599,0
20050216 01:00,3.0473,3.0384,3.0874,3.0507,0,3.0598,3.0469,3.0909,3.0657,0
20050217 01:00,3.0506,3.0437,3.0702,3.0484,0,3.0656,3.0532,3.0737,3.0609,0
