20050318 01:00,6.0864,6.0861,6.1372,6.133,0,6.0924,6.0921,6.1422,6.138,0
20050321 01:00,6.1327,6.1245,6.2017,6.199,0,6.1377,6.1295,6.2067,6.204,0
20050322 01:00,6.1997,6.1802,6.261,6.2458,0,6.2047,6.1837,6.266,6.2508,0
20050323 01:00,6.246,6.2444,6.3191,6.3069,0,6.251,6.2494,6.3241,6.3119,0
20050324 01:00,6.3074,6.2886,6.3427,6.3343,0,6.3124,6.2921,6.3487,6.3403,0
20050325 01:00,6.3346,6.3226,6.3656,6.3516,0,6.3406,6.3286,6.3706,6.3566,0
20050328 02:00,6.3519,6.3377,6.3996,6.3458,0,6.3569,6.3427,6.4046,6.3508,0
20050329 02:00,6.3456,6.3275,6.3685,6.3349,0,6.3506,6.3325,6.372,6.3399,0
20050330 02:00,6.3352,6.3015,6.3376,6.3336,0,6.3402,6.305,6.3426,6.3386,0
20050331 02:00,6.3338,6.3003,6.35,6.3372,0,6.3388,6.3043,6.354,6.3412,0
20050401 02:00,6.3364,6.2718,6.3653,6.3487,0,6.3404,6.2778,6.3766,6.3537,0
20050404 02:00,6.3482,6.3476,6.3886,6.3797,0,6.3532,6.3511,6.3926,6.3847,0
20050405 02:00,6.3799,6.3316,6.3859,6.3379,0,6.3849,6.3366,6.3909,6.3429,0
20050406 02:00,6.3377,6.3186,6.361,6.3404,0,6.3427,6.3221,6.3645,6.3439,0
20050407 02:00,6.3399,6.3058,6.3722,6.3678,0,6.3434,6.3093,6.3757,6.3713,0
20050408 02:00,6.3678,6.3218,6.3824,6.3366,0,6.3713,6.3263,6.3859,6.3416,0
20050411 02:00,6.3364,6.2942,6.3386,6.3146,0,6.3414,6.2977,6.3436,6.3196,0
20050412 02:00,6.3143,6.2802,6.3573,6.3401,0,6.3193,6.2837,6.3623,6.3451,0
20050413 02:00,6.3398,6.3142,6.382,6.3802,0,6.3448,6.3177,6.387,6.3852,0
20050414 02:00,6.3805,6.3771,6.4476,6.4298,0,6.3855,6.3821,6.4511,6.4348,0
20050415 02:00,6.431,6.3509,6.4434,6.3788,0,6.436,6.364,6.4484,6.3838,0
20050418 02:00,6.3793,6.2924,6.3841,6.3089,0,6.3843,6.2959,6.3891,6.3139,0
20050419 02:00,6.3086,6.2679,6.3193,6.2722,0,6.3136,6.2729,6.3223,6.2772,0
20050420 02:00,6.2726,6.2288,6.2997,6.2353,0,6.2776,6.2328,6.3037,6.2393,0
20050421 02:00,6.2355,6.218,6.2651,6.2533,0,6.2395,6.2215,6.2686,6.2583,0
20050422 02:00,6.2531,6.2275,6.2727,6.2671,0,6.2581,6.2305,6.2777,6.2721,0
20050425 02:00,6.2669,6.2468,6.2949,6.2561,0,6.2719,6.2518,6.2979,6.2611,0
20050426 02:00,6.2563,6.2437,6.2833,6.2638,0,6.2613,6.2487,6.2863,6.2688,0
20050427 02:00,6.2635,6.2543,6.2998,6.2869,0,6.2685,6.2573,6.3028,6.2919,0
20050428 02:00,6.2867,6.2827,6.3196,6.2991,0,6.2917,6.2877,6.3226,6.3041,0
20050429 02:00,6.2993,6.2722,6.3283,6.3221,0,6.3043,6.2752,6.3358,6.3296,0
20050502 02:00,6.3219,6.313,6.3366,6.3328,0,6.3294,6.3189,6.3406,6.3378,0
20050503 02:00,6.3331,6.2641,6.3394,6.2675,0,6.3381,6.2691,6.3444,6.2725,0
20050504 02:00,6.267,6.2497,6.2819,6.2678,0,6.272,6.2527,6.2849,6.2728,0
20050505 02:00,6.2675,6.2458,6.2711,6.264,0,6.2725,6.2508,6.2746,6.269,0
20050506 02:00,6.2638,6.2533,6.3483,6.3437,0,6.2688,6.2563,6.3533,6.3487,0
20050509 02:00,6.3437,6.2951,6.3526,6.3111,0,6.3487,6.3001,6.3556,6.3161,0
20050510 02:00,6.3109,6.2773,6.338,6.2871,0,6.3159,6.2823,6.341,6.2921,0
20050511 02:00,6.2873,6.2589,6.3235,6.308,0,6.2923,6.2619,6.3285,6.313,0
20050512 02:00,6.3082,6.3075,6.3885,6.3837,0,6.3132,6.3125,6.3935,6.3887,0
20050513 02:00,6.3842,6.3792,6.4321,6.4161,0,6.3892,6.3822,6.4471,6.4211,0
