,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDNOK,Open Bid_x,Open Bid_y,Open Ask_y
2005-04-05,2.77,1.76,2.05,5.3050397877984095e-06,2.77,5.95,6.1
2005-04-06,2.76,1.71,2.05,5.245271867612293e-06,2.76,5.97,6.17
2005-04-07,2.69,1.7,2.03,4.968383017163508e-06,2.69,5.95,6.1
2005-04-08,2.7,1.81,2.01,5.180180180180182e-06,2.7,5.75,6.05
2005-04-09,2.76,1.76,2.03,5.393026004728133e-06,2.76,5.75,6.05
2005-04-10,2.76,1.76,2.03,5.393026004728133e-06,2.76,5.75,6.05
2005-04-11,2.77,1.73,2.07,5.157677571470676e-06,2.77,5.8,6.0
2005-04-12,2.74,1.73,2.07,4.976232917409389e-06,2.74,5.8,6.05
2005-04-13,2.72,1.74,2.08,4.778972520908006e-06,2.72,5.61,6.0
2005-04-14,2.73,1.69,2.04,5.13851653261841e-06,2.73,5.81,6.01
